[12:56:08	]Chogacz has connected.
[12:56:55	]Chogacz loaded the character 'C17:RCT.YELLO-89'
[12:57:21	]Chogacz (STEAM_0:1:36976287) has disconnected.
[19:14:04	]Lorf has connected.
[19:15:53	]Lorf (STEAM_0:0:83902827) deleted character 'C17:RCT.YELLO-17'
[19:15:56	]Lorf loaded the character 'C17:RCT.YELLO-20'
[19:16:01	]C17:RCT.YELLO-20 is fully healed.
[19:16:09	]Lorf has unloaded their "C17:RCT.YELLO-20" character.
[19:16:12	]Lorf (STEAM_0:0:83902827) deleted character 'C17:RCT.YELLO-20'
[19:17:10	]Lorf created the character 'C17:RCT.YELLO-59'
[19:17:10	]Lorf has gained level 5 in the Broń palna skill.
[19:17:10	]Lorf has gained level 10 in the Prędkość skill.
[19:17:10	]Lorf loaded the character 'C17:RCT.YELLO-59'
[19:17:10	]C17:RCT.YELLO-59 has gained a 'Karta identyfikacyjna #24117' #924.
[19:17:10	]C17:RCT.YELLO-59 has gained a 'PDA Kombinatu' #925.
[19:17:10	]C17:RCT.YELLO-59 has gained a 'Uniform CP' #926.
[19:17:10	]C17:RCT.YELLO-59 has gained a 'Maska CP' #927.
[19:17:10	]C17:RCT.YELLO-59 has gained a 'Krótkofalówka' #928.
[19:17:10	]C17:RCT.YELLO-59 has gained a 'Mała torba' #929.
[19:17:10	]C17:RCT.YELLO-59 has gained a 'Duża torba' #930.
[19:17:24	]C17:RCT.YELLO-59 entered observer.
[19:19:15	]C17:RCT.YELLO-59 has given himself a magazine_mp_30rnd.
[19:19:15	]C17:RCT.YELLO-59 has gained a 'Magazynek do PM 30rnd' #931.
[19:19:55	]C17:RCT.YELLO-59 exited observer at their location.
[19:19:57	]C17:RCT.YELLO-59 entered observer.
[19:21:55	]C17:RCT.YELLO-59 exited observer at their location.
[19:21:56	]C17:RCT.YELLO-59 entered observer.
[19:21:57	]C17:RCT.YELLO-59 exited observer at their location.
[19:21:59	]C17:RCT.YELLO-59 entered observer.
[19:22:03	]C17:RCT.YELLO-59 exited observer at their location.
[19:22:04	]C17:RCT.YELLO-59 entered observer.
[19:22:11	]C17:RCT.YELLO-59 exited observer at their location.
[19:22:38	]C17:RCT.YELLO-59 has spawned a 'Entity [535][npc_zombine_slump]'.
[19:22:42	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 19 damage (CritChance was 0.86).
[19:22:43	]C17:RCT.YELLO-59 has hit npc_zombine in the chest dealing 12 damage (CritChance was 0.86).
[19:22:43	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 0 damage (CritChance was 0.86).
[19:22:43	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 19 damage (CritChance was 0.86).
[19:22:43	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 19 damage (CritChance was 0.86).
[19:22:44	]C17:RCT.YELLO-59 has critically hit npc_zombine in the left arm dealing 0 damage (CritChance was 0.86).
[19:22:44	]C17:RCT.YELLO-59 has critically hit npc_zombine in the left arm dealing 0 damage (CritChance was 0.86).
[19:22:44	]C17:RCT.YELLO-59 has critically hit npc_zombine in the left arm dealing 16 damage (CritChance was 0.86).
[19:22:44	]C17:RCT.YELLO-59 has hit npc_zombine in the head dealing 10 damage (CritChance was 0.86).
[19:22:45	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 0 damage (CritChance was 0.86).
[19:22:45	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 0 damage (CritChance was 0.86).
[19:22:45	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 21 damage (CritChance was 0.86).
[19:22:45	]C17:RCT.YELLO-59 has critically hit npc_zombine in the left arm dealing 0 damage (CritChance was 0.86).
[19:22:45	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 0 damage (CritChance was 0.86).
[19:22:45	]C17:RCT.YELLO-59 has critically hit npc_zombine in the right arm dealing 16 damage (CritChance was 0.86).
[19:22:52	]C17:RCT.YELLO-59 has spawned a 'Entity [535][npc_zombine_slump_attack]'.
[19:22:55	]C17:RCT.YELLO-59 has spawned a 'Entity [538][npc_zombine_slump]'.
[19:22:58	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 19 damage (CritChance was 0.86).
[19:23:00	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 0 damage (CritChance was 0.86).
[19:23:00	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 0 damage (CritChance was 0.86).
[19:23:00	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 21 damage (CritChance was 0.86).
[19:23:01	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 19 damage (CritChance was 0.86).
[19:23:01	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 0 damage (CritChance was 0.86).
[19:23:01	]C17:RCT.YELLO-59 has hit npc_zombine in the right arm dealing 8 damage (CritChance was 0.86).
[19:23:01	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 21 damage (CritChance was 0.86).
[19:23:01	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 0 damage (CritChance was 0.86).
[19:23:01	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 21 damage (CritChance was 0.86).
[19:23:03	]C17:RCT.YELLO-59 has critically hit npc_zombine in the chest dealing 19 damage (CritChance was 0.86).
[19:23:03	]C17:RCT.YELLO-59 has critically hit npc_zombine in the left arm dealing 0 damage (CritChance was 0.86).
[19:23:03	]C17:RCT.YELLO-59 has critically hit npc_zombine in the left arm dealing 16 damage (CritChance was 0.86).
[19:23:03	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 21 damage (CritChance was 0.86).
[19:23:03	]C17:RCT.YELLO-59 has critically hit npc_zombine in the head dealing 21 damage (CritChance was 0.86).
[19:23:14	]C17:RCT.YELLO-59 has spawned a 'NPC [535][npc_vortigaunt]'.
[19:23:15	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 0 damage (CritChance was 0.86).
[19:23:15	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 19 damage (CritChance was 0.86).
[19:23:16	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 0 damage (CritChance was 0.86).
[19:23:16	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 19 damage (CritChance was 0.86).
[19:23:16	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 0 damage (CritChance was 0.86).
[19:23:16	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 19 damage (CritChance was 0.86).
[19:23:16	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 0 damage (CritChance was 0.86).
[19:23:16	]C17:RCT.YELLO-59 has hit npc_vortigaunt dealing 12 damage (CritChance was 0.86).
[19:23:17	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 0 damage (CritChance was 0.86).
[19:23:17	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 19 damage (CritChance was 0.86).
[19:23:17	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 0 damage (CritChance was 0.86).
[19:23:17	]C17:RCT.YELLO-59 has critically hit npc_vortigaunt dealing 19 damage (CritChance was 0.86).
[19:23:21	]C17:RCT.YELLO-59 has spawned a 'NPC [535][npc_antlion_schizo_soldier]'.
[19:23:22	]C17:RCT.YELLO-59 has critically hit npc_antlion_schizo_soldier dealing 19 damage (CritChance was 0.86).
[19:23:23	]C17:RCT.YELLO-59 has critically hit npc_antlion_schizo_soldier dealing 19 damage (CritChance was 0.86).
[19:23:24	]C17:RCT.YELLO-59 has spawned a 'NPC [535][npc_antlion_schizo_drone]'.
[19:23:28	]C17:RCT.YELLO-59 has critically hit npc_antlion_schizo_drone dealing 19 damage (CritChance was 0.86).
