[14:15:56	]Commissar_Krieger s'est connecté.
[14:16:19	][AltChecker] Commissar_Krieger rejoint sans cookie, mais l'installation correspond au cookie existant. 4/5
[14:16:48	]Commissar_Krieger chargé le personnage 'C13:i3.UNION-23'
[14:16:49	]C13:i3.UNION-23 a subi 11 dégâts de worldspawn.
[14:17:09	]C13:i3.UNION-23 ran SAM command 'hp' with arguments: '23' '100'
[14:17:10	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:13	]C13:i3.UNION-23 est complètement guéri.
[14:17:22	]C13:i3.UNION-23 a désactivé le mode observateur.
[14:17:30	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:32	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:32	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:33	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:34	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:42	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:44	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:45	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:45	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:46	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:47	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:48	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:49	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:50	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:51	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:51	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:52	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:53	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:57	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:58	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:17:58	]C13:i3.UNION-23 a activé le mode observateur.
[14:17:59	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:18:00	]C13:i3.UNION-23 a activé le mode observateur.
[14:18:11	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:18:13	]C13:i3.UNION-23 a activé le mode observateur.
[14:18:14	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:18:46	]C13:i3.UNION-23 a activé le mode observateur.
[14:18:49	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:18:51	]C13:i3.UNION-23 a activé le mode observateur.
[14:18:54	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:18:56	]C13:i3.UNION-23 a activé le mode observateur.
[14:18:57	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:18:58	]C13:i3.UNION-23 a activé le mode observateur.
[14:18:59	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:19:00	]C13:i3.UNION-23 a activé le mode observateur.
[14:19:10	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:19:11	]C13:i3.UNION-23 a activé le mode observateur.
[14:19:12	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:19:12	]C13:i3.UNION-23 a activé le mode observateur.
[14:19:13	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:19:16	]C13:i3.UNION-23 a activé le mode observateur.
[14:19:18	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:19:20	]C13:i3.UNION-23 a activé le mode observateur.
[14:19:21	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:19:21	]C13:i3.UNION-23 a activé le mode observateur.
[14:19:28	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:19:30	]C13:i3.UNION-23 a activé le mode observateur.
[14:19:35	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:19:36	]C13:i3.UNION-23 a activé le mode observateur.
[14:20:01	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:20:03	]C13:i3.UNION-23 a activé le mode observateur.
[14:20:04	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:20:07	]C13:i3.UNION-23 a activé le mode observateur.
[14:20:22	]C13:i3.UNION-23 a perdu un 'Chargeur USP' #150013.
[14:20:22	]C13:i3.UNION-23 a gagné un 'Chargeur USP' #150015.
[14:20:26	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:20:39	]C13:i3.UNION-23 a activé le mode observateur.
[14:20:47	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:20:51	]C13:i3.UNION-23 a activé le mode observateur.
[14:21:09	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:21:09	]C13:i3.UNION-23 a activé le mode observateur.
[14:21:10	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:21:11	]C13:i3.UNION-23 a activé le mode observateur.
[14:21:15	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:21:16	]C13:i3.UNION-23 a activé le mode observateur.
[14:21:21	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:21:22	]C13:i3.UNION-23 a activé le mode observateur.
[14:21:23	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:21:24	]C13:i3.UNION-23 a activé le mode observateur.
[14:21:24	]C13:i3.UNION-23 a désactivé le mode observateur à son point d'origine.
[14:21:24	]C13:i3.UNION-23 a activé le mode observateur.
