[09:24:00	]doctor sex has connected.
[09:25:55	]doctor sex loaded the character 'John Freeman'
[09:26:39	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[09:26:48	]John Freeman ran 'combine' on item 'Bez Paçavralar' (#21239)
[09:26:50	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[09:27:09	]John Freeman opened the 'File Cabinet' #2863 container.
[09:27:11	]John Freeman closed the 'File Cabinet' #2863 container.
[09:27:13	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[09:27:16	]John Freeman ran 'split' on item 'Hurda Metal' (#21139)
[09:27:18	]John Freeman has gained a 'Hurda Metal' #22467 from a container with the name 'Medium File Cabinet' #2864.
[09:27:22	]John Freeman ran 'split' on item 'Çivi Kutusu' (#21138)
[09:27:24	]John Freeman has gained a 'Çivi Kutusu' #22468 from a container with the name 'Medium File Cabinet' #2864.
[09:27:27	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[09:27:35	]John Freeman opened the 'File Cabinet' #2863 container.
[09:27:37	]John Freeman closed the 'File Cabinet' #2863 container.
[09:27:42	]John Freeman ran 'combine' on item 'Bavul' (#16101)
[09:27:51	]John Freeman opened the 'File Cabinet' #2863 container.
[09:27:53	]John Freeman ran 'combine' on item 'Dikişli Kumaş' (#20130)
[09:27:54	]John Freeman ran 'combine' on item 'Arıtıcı' (#19482)
[09:27:57	]John Freeman closed the 'File Cabinet' #2863 container.
[09:28:05	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[09:28:07	]John Freeman has gained a 'Araç Kiti' #20911 from a container with the name 'Medium File Cabinet' #2864.
[09:28:07	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[09:28:17	]John Freeman has performed the 'Craft Su ısıtıcısı' action, gaining 50 experience in crafting.
[09:28:17	]John Freeman has gained a 'Su Isıtıcısı' #22469.
[09:28:38	]John Freeman opened the 'File Cabinet' #2863 container.
[09:28:40	]John Freeman closed the 'File Cabinet' #2863 container.
[09:28:41	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[09:28:44	]John Freeman ran 'split' on item 'Yapıştırıcı' (#21240)
[09:28:46	]John Freeman has gained a 'Yapıştırıcı' #22470 from a container with the name 'Medium File Cabinet' #2864.
[09:28:47	]John Freeman has gained a 'Hurda Metal' #21139 from a container with the name 'Medium File Cabinet' #2864.
[09:28:48	]John Freeman ran 'split' on item 'Çivi Kutusu' (#21138)
[09:28:50	]John Freeman has gained a 'Çivi Kutusu' #22471 from a container with the name 'Medium File Cabinet' #2864.
[09:28:51	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[09:28:55	]John Freeman has performed the 'Craft Kızartma Tavası' action, gaining 50 experience in crafting.
[09:28:55	]John Freeman has gained a 'Kızartma tavası' #22472.
[09:29:02	]John Freeman opened the 'Medium File Cabinet' #2864 container.
[09:29:04	]John Freeman ran 'combine' on item 'Ahşap Tahta' (#21099)
[09:29:06	]John Freeman has transferred a 'Cam kırıkları' #21315 to a container with the name 'Medium File Cabinet' #2864.
[09:29:19	]John Freeman closed the 'Medium File Cabinet' #2864 container.
[09:29:31	]John Freeman ran 'take' on item 'Tencere' (#16573)
[09:29:31	]John Freeman has gained a 'Tencere' #16573.
[09:29:40	]John Freeman ran 'Place' on item 'Tencere' (#16573)
[09:29:40	]John Freeman has lost a 'Tencere' #16573.
[09:30:10	]John Freeman ran 'drop' on item 'Bavul' (#16101)
[09:30:10	]John Freeman has lost a 'Bavul' #16101.
[09:30:19	]John Freeman ran 'take' on item 'Tencere' (#16573)
[09:30:19	]John Freeman has gained a 'Tencere' #16573.
[09:30:24	]John Freeman ran 'drop' on item 'Su Isıtıcısı' (#22469)
[09:30:24	]John Freeman has lost a 'Su Isıtıcısı' #22469.
[09:30:25	]John Freeman opened the 'Refrigerator' #2531 container.
[09:30:27	]John Freeman closed the 'Refrigerator' #2531 container.
[09:30:27	]John Freeman opened the 'Refrigerator' #2531 container.
[09:30:30	]John Freeman has transferred a 'Boş Votka Şişesi' #21440 to a container with the name 'Refrigerator' #2531.
[09:30:31	]John Freeman closed the 'Refrigerator' #2531 container.
[09:30:37	]John Freeman ran 'Place' on item 'Tencere' (#16573)
[09:30:37	]John Freeman has lost a 'Tencere' #16573.
[09:30:38	]John Freeman ran 'take' on item 'Tencere' (#16573)
[09:30:38	]John Freeman has gained a 'Tencere' #16573.
[09:30:40	]John Freeman ran 'take' on item 'Su Isıtıcısı' (#22469)
[09:30:40	]John Freeman has gained a 'Su Isıtıcısı' #22469.
[09:30:44	]John Freeman ran 'Place' on item 'Tencere' (#16573)
[09:30:44	]John Freeman has lost a 'Tencere' #16573.
[09:30:47	]John Freeman ran 'take' on item 'Tencere' (#16573)
[09:30:47	]John Freeman has gained a 'Tencere' #16573.
[09:30:52	]John Freeman ran 'Place' on item 'Tencere' (#16573)
[09:30:52	]John Freeman has lost a 'Tencere' #16573.
[09:30:56	]John Freeman ran 'drop' on item 'Su Isıtıcısı' (#22469)
[09:30:56	]John Freeman has lost a 'Su Isıtıcısı' #22469.
[09:30:58	]John Freeman ran 'take' on item 'Su Isıtıcısı' (#22469)
[09:30:58	]John Freeman has gained a 'Su Isıtıcısı' #22469.
[09:31:02	]John Freeman ran 'drop' on item 'Su Isıtıcısı' (#22469)
[09:31:02	]John Freeman has lost a 'Su Isıtıcısı' #22469.
[09:31:27	]John Freeman ran 'drop' on item 'Kızartma tavası' (#22472)
[09:31:27	]John Freeman has lost a 'Kızartma tavası' #22472.
[09:31:29	]John Freeman ran 'take' on item 'Kızartma tavası' (#22472)
[09:31:29	]John Freeman has gained a 'Kızartma tavası' #22472.
[09:31:45	]John Freeman ran 'drop' on item 'Kızartma tavası' (#22472)
[09:31:45	]John Freeman has lost a 'Kızartma tavası' #22472.
[09:31:47	]John Freeman ran 'take' on item 'Kızartma tavası' (#22472)
[09:31:47	]John Freeman has gained a 'Kızartma tavası' #22472.
[09:31:50	]John Freeman ran 'drop' on item 'Kızartma tavası' (#22472)
[09:31:50	]John Freeman has lost a 'Kızartma tavası' #22472.
[09:32:34	]John Freeman ran 'drop' on item 'Plastik Kova' (#21450)
[09:32:34	]John Freeman has lost a 'Plastik Kova' #21450.
[09:33:37	]John Freeman ran 'split' on item 'Ağrı Kesici' (#21391)
[09:33:37	]John Freeman has gained a 'Ağrı Kesici' #22473.
[09:33:39	]John Freeman ran 'use' on item 'Ağrı Kesici' (#22473)
[09:33:39	]John Freeman has performed the 'Use Ağrı Kesici' action, gaining 25 experience in medicine.
[09:33:40	]John Freeman ran 'use' on item 'Ağrı Kesici' (#21391)
[09:33:40	]John Freeman has performed the 'Use Ağrı Kesici' action, gaining 2 experience in medicine.
[09:33:42	]John Freeman opened the 'File Cabinet' #2863 container.
[09:33:45	]John Freeman ran 'split' on item 'Arıtıcı' (#19482)
[09:33:46	]John Freeman has gained a 'Arıtıcı' #22474 from a container with the name 'File Cabinet' #2863.
[09:33:47	]John Freeman closed the 'File Cabinet' #2863 container.
[09:33:55	]John Freeman opened the 'File Cabinet' #2863 container.
[09:33:58	]John Freeman ran 'combine' on item 'Arıtıcı' (#19482)
[09:33:58	]John Freeman closed the 'File Cabinet' #2863 container.
[09:34:11	]John Freeman ran 'drinkquench' on item 'Water Bottle' (#21150)
[09:34:54	]John Freeman has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[09:35:07	]John Freeman ran 'take' on item 'Rasyon' (#22475)
[09:35:07	]John Freeman has gained a 'Rasyon' #22475.
[09:35:10	]John Freeman ran 'Open' on item 'Rasyon' (#22475)
[09:35:10	]John Freeman has gained a 'Yapay Macun' #22476.
[09:35:10	]John Freeman has gained a 'Breen'in Suyu' #22477.
[09:35:10	]John Freeman has gained a '15 Kredi Kuponu' #22478.
[09:35:15	]John Freeman ran 'Use' on item '15 Kredi Kuponu' (#22478)
[09:35:19	]John Freeman ran 'Use' on item '15 Kredi Kuponu' (#22478)
[09:35:21	]John Freeman has used a coupon at a ration dispenser, gaining 15 credits.
[09:35:23	]John Freeman ran 'Consume' on item 'Yapay Macun' (#22476)
[09:35:23	]John Freeman has gained a 'Boş Kavanoz' #22479.
[09:35:29	]Victorian has connected.
[09:35:32	]John Freeman used the 'Kupon Makinesi' vendor.
[09:35:36	]John Freeman used the 'Kupon Makinesi' vendor.
[09:36:53	]Victorian loaded the character 'C24:i5.UNION-11'
[09:37:11	][IC] C24:i5.UNION-11: <:: Sivil. ::>
[09:37:17	][IC] John Freeman: He.
[09:37:19	][IC] C24:i5.UNION-11: <:: Koşma, sözlü uyarı aldın. ::>
[09:37:24	][IC] John Freeman: Tamam.
[09:37:59	]C24:i5.UNION-11 used the 'Destek Masası Dağıtıcısı' vendor.
[09:38:00	][LOOC] John Freeman: kimse yok mu la gelebilecek
[09:38:10	][LOOC] C24:i5.UNION-11: çağırayım dur
[09:38:26	][LOOC] John Freeman: yaw enis gine duyur geçmeyi unutuyor sertver her zaman açık diye geçse ya
[09:38:35	][LOOC] C24:i5.UNION-11: evet
[09:38:39	][IC] John Freeman: Adamlar gine unuttu.
[09:38:39	][LOOC] C24:i5.UNION-11: kadın karakterime geçim mi
[09:38:48	][IC] John Freeman: Yok.
[09:39:11	][IC] C24:i5.UNION-11: <:: Hmph. ::>
[09:39:32	]John Freeman ran 'Consume' on item 'Breen'in Suyu' (#22477)
[09:39:32	]John Freeman has gained a 'Boş Breen'in Suyu' #22480.
[09:39:34	]John Freeman ran 'drop' on item 'Boş Breen'in Suyu' (#22480)
[09:39:34	]John Freeman has lost a 'Boş Breen'in Suyu' #22480.
[09:39:52	]John Freeman ran 'drop' on item 'Boş Kavanoz' (#22479)
[09:39:52	]John Freeman has lost a 'Boş Kavanoz' #22479.
[09:40:44	][LOOC] John Freeman: knk bizim geçen evler resetlenmiştide
[09:40:52	][LOOC] C24:i5.UNION-11: nası yani
[09:40:54	][LOOC] John Freeman: benim evde 2 kiracı varmı diye baksana
[09:41:00	][LOOC] John Freeman: server reset yedi ya
[09:41:11	][IC] C24:i5.UNION-11: <:: CID numaranız? ::>
[09:41:15	][LOOC] John Freeman: evin numara RA-b_02-02
[09:41:18	]John Freeman used command '/ID'.
[09:41:36	]John Freeman ran 'Open' on item 'CMRU PDA' (#18120)
[09:42:16	][IC] C24:i5.UNION-11: <:: Evinizde siz dahil 2 kiracı bulunmakta. ::>
[09:42:23	][IC] John Freeman: Tamam saolun.
[09:42:32	][LOOC] C24:i5.UNION-11: görev verim mi rol iin
[09:42:41	][LOOC] John Freeman: olur da dur bi
[09:42:49	][LOOC] C24:i5.UNION-11: noldu
[09:43:03	][LOOC] John Freeman: adam iyileştirmiştim geçende puanm vermediler
[09:43:16	][LOOC] C24:i5.UNION-11: önceden sana kaç verilmişti
[09:43:28	][LOOC] John Freeman: bilmem 3 falanmı
[09:43:34	][LOOC] C24:i5.UNION-11: sen o adamı buldun mu
[09:43:43	][LOOC] John Freeman: hastayımı?
[09:43:48	][LOOC] John Freeman: evet
[09:43:51	][LOOC] C24:i5.UNION-11: birini iyileştirdiğin zaman bize getir, o şekilde sadakat puanı verebiliriz
[09:43:58	][LOOC] John Freeman: heğ ok bro
