[00:07:23	][HRP] Heyron has connected.
[00:12:29	][HRP] Heyron created the character 'blackngger31'
[00:12:29	][HRP] Heyron loaded the character 'blackngger31'
[00:12:29	]blackngger31 has gained a 'Açık Gri Kol Bandı' #167562.
[00:12:29	]blackngger31 has gained a '#70514 Kimlik Kartı' #167563.
[00:12:29	]blackngger31 has gained a 'Siyah Tulum' #167564.
[00:12:29	]blackngger31 has gained a 'Mavi tulum pantolonu' #167565.
[00:12:29	]blackngger31 has gained a 'Eskimiş Koyu Ayakkabı' #167566.
[00:12:29	]blackngger31 has gained a 'Gözlükler' #167567.
[00:13:34	]blackngger31 entered observer.
[00:13:35	]blackngger31 exited observer at their location.
[00:13:38	]blackngger31 ran SAM command 'menu' with arguments: ''
[00:14:03	]blackngger31 entered observer.
[00:14:04	]blackngger31 exited observer at their location.
[00:14:07	][IC] blackngger31: T.
[00:14:07	]blackngger31 entered observer.
[00:14:10	]blackngger31 exited observer at their location.
[00:14:11	]blackngger31 entered observer.
[00:14:12	]blackngger31 exited observer at their location.
[00:14:14	][IC] blackngger31: Sa.
[00:14:16	][IC] blackngger31: La.
[00:14:17	][IC] blackngger31: Gel.
[00:14:21	][IC] blackngger31: Sa.
[00:14:45	][IC] blackngger31: Gel.
[00:15:01	]blackngger31 has fired a toolgun with the name: material
[00:15:10	]blackngger31 entered observer.
[00:15:11	]blackngger31 exited observer at their location.
[00:16:31	]blackngger31 entered observer.
[00:16:38	]blackngger31 exited observer at their location.
[00:16:59	]blackngger31 used command '/PlyWhitelist black gman'.
[00:17:55	]blackngger31 used command '/PlyWhitelist black gmanmodels/gman_high.mdl'.
[00:17:57	]blackngger31 entered observer.
[00:18:07	]blackngger31 used command '/CharSetModel black models/gman_high.mdl'.
[00:18:08	]blackngger31 exited observer at their location.
[00:18:13	]blackngger31 entered observer.
[00:18:16	]blackngger31 exited observer at their location.
[00:18:34	]blackngger31 entered observer.
[00:18:34	]blackngger31 exited observer at their location.
[00:18:35	]blackngger31 entered observer.
[00:18:36	]blackngger31 exited observer at their location.
[00:18:39	]blackngger31 entered observer.
[00:19:08	]blackngger31 exited observer at their location.
[00:20:01	]blackngger31 entered observer.
[00:20:03	]blackngger31 exited observer at their location.
[00:20:04	]blackngger31 entered observer.
[00:20:05	]blackngger31 exited observer at their location.
[00:20:05	]blackngger31 entered observer.
[00:20:05	]blackngger31 exited observer at their location.
[00:20:13	][IC] blackngger31: Sa.
[00:20:22	][ME] blackngger31: seks
[00:20:26	]blackngger31 entered observer.
[00:20:32	]blackngger31 exited observer at their location.
[00:20:33	][IT] blackngger31: seks
[00:20:42	][ME] blackngger31: seks
[00:20:45	][IT] blackngger31: sekssssss
[00:21:03	]blackngger31 entered observer.
[00:21:05	]blackngger31 exited observer at their location.
[00:21:06	]blackngger31 entered observer.
[00:21:09	]blackngger31 exited observer at their location.
[00:21:19	]blackngger31 entered observer.
[00:21:25	]blackngger31 exited observer at their location.
[00:21:32	]blackngger31 entered observer.
[00:21:35	]blackngger31 exited observer at their location.
[00:21:36	]blackngger31 entered observer.
[00:21:50	]Enistein has connected.
[00:22:21	]blackngger31 exited observer at their location.
[00:22:25	]blackngger31 entered observer.
[00:22:26	]Enistein loaded the character 'Feliks Nowak'
[00:22:31	]Feliks Nowak is fully healed.
