[00:00:01	][IC] Lorf: Pora pracować.
[00:00:05	][IC] Martin Recher: Nie chce czajnika.
[00:00:08	][IC] Noah Wethli: Nie mogę znaleść handlarza.
[00:00:10	][IC] Martin Recher: Ani garnka.
[00:00:10	][OOC] Wenli: City 8 [*]
[00:00:12	]Lorf entered observer.
[00:00:12	]Lorf entered observer.
[00:00:14	][IC] Noah Wethli: To ogerta pracy?
[00:00:19	]Noah Wethli has taken 15 damage from worldspawn.
[00:00:20	][IC] Martin Recher: Ani patelni.
[00:00:27	]Hans von Miller ran 'take' on item 'Bank Soda Zhongguo ' (#3980)
[00:00:27	]Hans von Miller has gained a 'Bank Soda Zhongguo ' #3980.
[13:36:17	]Wenli has connected.
[13:36:52	]Wenli loaded the character 'Wenli'
[13:36:56	]Wenli entered observer.
[13:37:09	]Wenli exited observer at their location.
[13:37:19	]Wenli has fired a toolgun with the name: sh_persist
[13:37:19	]Wenli has disabled persistence for 'models/props_wasteland/controlroom_desk001a.mdl'.
[13:37:20	]Wenli has fired a toolgun with the name: sh_persist
[13:37:20	]Wenli has enabled persistence for 'models/props_wasteland/controlroom_desk001a.mdl'.
[13:37:23	]Wenli has fired a toolgun with the name: sh_persist
[13:37:23	]Wenli has disabled persistence for 'models/props_junk/plasticcrate01a.mdl'.
[13:37:23	]Wenli has fired a toolgun with the name: sh_persist
[13:37:23	]Wenli has enabled persistence for 'models/props_junk/plasticcrate01a.mdl'.
[13:37:27	]Wenli entered observer.
[13:37:29	]Wenli exited observer at their location.
[13:37:37	]Wenli has unloaded their "Wenli" character.
[13:37:46	]Wenli loaded the character 'Wenli'
[13:37:50	]Wenli used command '/PlyWhitelist Wenli CWU'.
[13:37:54	]Wenli used command '/PlyWhitelist Wenli workers'.
[13:37:57	]Wenli used command '/PlyWhitelist Wenli medical'.
[13:38:01	]Wenli has unloaded their "Wenli" character.
[13:38:02	]Wenli has unloaded their "Wenli" character.
[13:39:34	]Wenli created the character 'Tomasz Terka'
[13:39:34	]Wenli loaded the character 'Tomasz Terka'
[13:39:34	]Tomasz Terka has gained a 'Karta identyfikacyjna #58490' #6613.
[13:39:34	]Tomasz Terka has gained a 'CWU PDA' #6614.
[13:39:34	]Tomasz Terka has gained a 'Karta dostępu: Członek CWU' #6615.
[13:39:34	]Tomasz Terka has gained a 'Czarny uniform' #6616.
[13:39:34	]Tomasz Terka has gained a 'Czerwone luźne spodnie' #6617.
[13:39:34	]Tomasz Terka has gained a 'Buty z czarnej skóry' #6618.
[13:39:36	]Tomasz Terka entered observer.
[13:39:48	]Tomasz Terka ran 'Open' on item 'CWU PDA' (#6614)
[13:39:54	]Tomasz Terka ran 'Bind' on item 'Karta dostępu: Członek CWU' (#6615)
[13:40:04	]Tomasz Terka exited observer at their location.
[13:40:32	]Tomasz Terka entered observer.
[13:40:34	]Tomasz Terka exited observer at their location.
[13:40:35	]Tomasz Terka entered observer.
[13:40:36	]Tomasz Terka exited observer at their location.
[13:40:40	][PICKUP DISPENSER] Wenli ( Tomasz Terka ) picked up an item from the pickup dispenser.
[13:40:40	]Tomasz Terka has gained a 'Priorytetowy kupon na Kredyty.' #6619.
[13:40:45	]Tomasz Terka entered observer.
[13:40:47	]Tomasz Terka exited observer at their location.
[13:41:04	]Tomasz Terka entered observer.
[13:41:06	]Tomasz Terka exited observer at their location.
[13:41:09	][PICKUP DISPENSER] Wenli ( Tomasz Terka ) picked up an item from the pickup dispenser.
[13:41:09	]Tomasz Terka has gained a 'Kupon na Kredyty.' #6620.
[13:41:13	]Tomasz Terka entered observer.
[13:41:16	]Tomasz Terka exited observer at their location.
[13:41:33	]Tomasz Terka entered observer.
[13:41:34	]Tomasz Terka exited observer at their location.
[13:41:38	][PICKUP DISPENSER] Wenli ( Tomasz Terka ) picked up an item from the pickup dispenser.
[13:41:38	]Tomasz Terka has gained a 'Podstawowy kupon na Kredyty.' #6621.
[13:42:46	]Tomasz Terka entered observer.
[13:43:16	]Tomasz Terka exited observer at their location.
[13:43:17	]Tomasz Terka entered observer.
[13:43:30	]Tomasz Terka used command '/ShowEntsInRadius 1000'.
[13:43:38	]Tomasz Terka exited observer at their location.
[13:43:41	]Tomasz Terka opened the 'Personalny Schowek 625' stash.
[13:43:44	]Tomasz Terka closed the 'Personalny Schowek 625' stash.
[13:43:51	]Tomasz Terka used command '/ShowEntsInRadius 100'.
[13:44:13	]Tomasz Terka opened the 'Personalny Schowek 625' stash.
[13:44:13	]Tomasz Terka closed the 'Personalny Schowek 625' stash.
[13:44:21	]Tomasz Terka entered observer.
[13:44:24	]Tomasz Terka used command '/ShowEntsInRadius 1000000'.
[13:44:28	]Tomasz Terka used command '/ShowEntsInRadius 100000'.
[13:45:38	]Tomasz Terka exited observer at their location.
[13:45:39	]Tomasz Terka entered observer.
[13:45:40	]Tomasz Terka exited observer at their location.
[13:45:41	]Tomasz Terka entered observer.
[13:45:42	]Tomasz Terka exited observer at their location.
[13:45:44	]Tomasz Terka entered observer.
[13:45:44	]Tomasz Terka exited observer at their location.
[13:45:47	]Tomasz Terka entered observer.
[13:45:48	]Tomasz Terka exited observer at their location.
[13:45:50	]Tomasz Terka entered observer.
[13:45:57	]Tomasz Terka exited observer at their location.
[13:46:00	]Tomasz Terka entered observer.
[13:46:00	]Tomasz Terka exited observer at their location.
[13:46:03	]Tomasz Terka entered observer.
[13:46:04	]Tomasz Terka exited observer at their location.
[13:46:06	]Tomasz Terka entered observer.
[13:46:07	]Tomasz Terka exited observer at their location.
[13:46:08	]Tomasz Terka entered observer.
[13:46:09	]Tomasz Terka exited observer at their location.
[13:46:09	]Tomasz Terka entered observer.
